Date,Symbol,Company Name,Split Ratio
03/17/2025,SAIH,Saiheat Ltd.,1 : 15
03/17/2025,BHAT,Blue Hat Interactive Entertainment Technology,1 : 100
03/17/2025,WLDS,Wearable Devices Ltd.,1 : 4
03/13/2025,KUKEY,Kuke Music Holding Ltd.,1 : 10
03/13/2025,IPDN,Professional Diversity Network Inc,1 : 10
03/12/2025,BLNE,Beeline Holdings Inc,1 : 10
03/10/2025,ABTS,Abits Group Inc,1 : 15
03/10/2025,OMH,Ohmyhome Ltd.,1 : 10
03/07/2025,TIVC,Tivic Health Systems Inc,1 : 17
03/04/2025,VERO,Venus Concept Inc,1 : 11
03/03/2025,CLEUF,China Liberal Education Holdings Ltd.,1 : 80
03/03/2025,EDBL,Edible Garden Ag Inc,1 : 25
03/03/2025,LICN,Lichen International Ltd.,1 : 200
02/26/2025,APTOF,Aptose Biosciences Inc,1 : 30
02/26/2025,KPTI,Karyopharm Therapeutics Inc,1 : 15
02/26/2025,AEON,Aeon Biopharma Inc,1 : 71.99
02/25/2025,LODE,Comstock Inc,1 : 10
02/25/2025,SXTC,China Sxt Pharmaceuticals Inc,1 : 8
02/24/2025,HWH,Hwh International Inc,1 : 5
02/24/2025,SOAR,Volato Group Inc,1 : 25
02/24/2025,GRI,Gri Bio Inc,1 : 17
02/24/2025,SXTP,60 Degrees Pharmaceuticals Inc,1 : 5
02/21/2025,WINT,Windtree Therapeutics Inc,1 : 50
02/20/2025,USBC,Usbc Inc,1 : 40
02/18/2025,FEAM,5e Advanced Materials Inc,1 : 23
02/18/2025,MEGL,Magic Empire Global Ltd.,1 : 4
02/18/2025,CYN,Cyngn Inc,1 : 149.93
02/18/2025,BOXL,Boxlight Corp,1 : 5
02/18/2025,OTLY,Oatly Group Ab,1 : 20
02/13/2025,HYFM,Hydrofarm Holdings Group Inc,1 : 10
02/13/2025,TANH,Tantech Holdings Ltd.,1 : 40
02/11/2025,GSAT,Globalstar Inc,1 : 15
02/10/2025,RIME,Algorhythm Holdings Inc,1 : 200
02/10/2025,TCBP,Tc Biopharm (holdings) PLC,1 : 20
02/10/2025,BTAI,Bioxcel Therapeutics Inc,1 : 16
02/05/2025,TNXP,Tonix Pharmaceuticals Holding Corp,1 : 100
02/03/2025,HYPD,Hyperion Defi Inc,1 : 80
01/31/2025,FCUV,Focus Universal Inc,1 : 10
01/31/2025,ZKIN,Zk International Group Co Ltd.,1 : 7
01/30/2025,CRKN,Crown Electrokinetics Corp,1 : 149.93
01/30/2025,BLRX,Biolinerx Ltd.,1 : 40
01/29/2025,PPCB,Propanc Biopharma Inc,"1 : 50,000"
01/28/2025,INKT,Mink Therapeutics Inc,1 : 10
01/28/2025,VINC,Vincerx Pharma Inc,1 : 20
01/27/2025,BNGO,Bionano Genomics Inc,1 : 59.99
01/27/2025,GITS,Global Interactive Technologies Inc,1 : 20
01/27/2025,IVP,Inspire Veterinary Partners Inc,1 : 25
01/27/2025,HAO,Haoxi Health Technology Ltd.,1 : 25
01/22/2025,MEHA,Functional Brands Inc,1 : 18.34
